case_idx,query_field,query,target_path,target_in_index,category,hit_top5,rank,result_paths
0,simple_task_zh,我想知道在使用J1939协议栈时，如果发生交互层错误，对应的数值含义是什么。,CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md,True,查询错误代码定义,True,1.0,"['CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md', 'CANoeCANalyzer/J1939/j1939IL/j1939ILOverview.md', 'CAPLFunctions/J1939/J1939NodeLayer/CAPLfunctionsJ1939NLErrorCodes.md', 'CAPLFunctions/J1939/CAPLfunctionsJ1939StartPage.md', 'CAPLFunctions/J1939/GBT27930InteractionLayer/CAPLfunctionsGBT27930ILOverview.md']"
0,complex_task_zh,我正在开发一个基于J1939协议的测试脚本，需要处理可能出现的网络层错误。我希望找到一份完整的错误代码列表，以便在回调函数中根据错误值输出具体的调试信息，比如节点未找到或超时等情况。,CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md,True,查询错误代码定义,True,2.0,"['CAPLFunctions/J1939/J1939NodeLayer/CAPLfunctionsJ1939NLErrorCodes.md', 'CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md', 'CAPLFunctions/Obsolete/J1939TestServiceLibrary/CAPLfunctionsJ1939TSLErrorCodes.md', 'CAPLFunctions/J1939/GNSSNodeLayer/CAPLfunctionsGNSSNLErrorCodesGetLastError.md', 'CAPLFunctions/J1939/J1939NodeLayer/Functions/CAPLfunctionJ1939Getlasterror.md']"
0,simple_task_en,I want to know the numerical meanings of interaction layer errors when using the J1939 protocol stack.,CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md,True,查询错误代码定义,True,2.0,"['CANoeCANalyzer/J1939/j1939IL/j1939ILOverview.md', 'CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md', 'CAPLFunctions/J1939/GBT27930InteractionLayer/CAPLfunctionsGBT27930ILOverview.md', 'CAPLFunctions/J1939/J1939NodeLayer/CAPLfunctionsJ1939NLErrorCodes.md', 'CAPLFunctions/J1939/CAPLfunctionsJ1939StartPage.md']"
0,complex_task_en,"I am developing a J1939-based test script and need to handle network layer errors. I hope to find a complete list of error codes so that I can output specific debugging information in callback functions, such as node not found or timeout scenarios.",CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md,True,查询错误代码定义,True,3.0,"['CAPLFunctions/J1939/J1939NodeLayer/CAPLfunctionsJ1939NLErrorCodes.md', 'CAPLFunctions/Obsolete/J1939TestServiceLibrary/CAPLfunctionsJ1939TSLErrorCodes.md', 'CAPLFunctions/CAPLfunctionsISOj1939ErrorCodes.md', 'CAPLFunctions/J1939/GNSSNodeLayer/CAPLfunctionsGNSSNLErrorCodesGetLastError.md', 'CAPLFunctions/J1939/J1939NodeLayer/Functions/CAPLfunctionJ1939Getlasterror.md']"
1,simple_task_zh,我想了解在网络仿真中，主节点和从节点的基本定义和区别。,CAPLFunctions/Glossary.md,True,查询核心概念与技术细节,False,,"['CANoeCANalyzer/General/HELP_NETNODES.md', 'COMInterface/Objects/COMObjectNode.md', 'CAPLFunctions/Security/Functions/CAPLfunctionSecurityLocalStartControlSimulationNode.md', 'CANoeCANalyzer/MOST/MOST_Simulation_Concept/most_simulation-concept.md', 'CANoeCANalyzer/MOST/MOSTSimulationMode.md']"
1,complex_task_zh,作为一个刚接触车载网络仿真的新手，我不确定在脚本中提到的‘主从’架构具体指什么。我需要确认哪些节点可以发送帧头，以及从节点是如何响应数据的，以便正确配置我的仿真环境。,CAPLFunctions/Glossary.md,True,查询核心概念与技术细节,False,,"['CANoeCANalyzer/MOST/MOST_Simulation_Concept/most_simulation-concept.md', 'CANoeCANalyzer/FunctionBlocks/MOSTNetworkMaster.md', 'CANoeCANalyzer/MOST/MOSTSimulationMode.md', 'CANoeCANalyzer/FunctionBlocks/LINInteractiveScheduler/LINiscNetwork.md', 'CANoeCANalyzer/SmartCharging/SCProcedures/SCFirstSteps.md']"
1,simple_task_en,I want to understand the basic definitions and differences between master and slave nodes in network simulation.,CAPLFunctions/Glossary.md,True,查询核心概念与技术细节,True,5.0,"['CANoeCANalyzer/FunctionBlocks/LINInteractiveScheduler/LINiscNetwork.md', 'CANoeCANalyzer/FunctionBlocks/MOSTNetworkMaster.md', 'CANoeCANalyzer/General/HELP_NETNODES.md', 'CANoeCANalyzer/LIN/HowTos/LIN_Simulating_LIN-Master.md', 'CAPLFunctions/Glossary.md']"
1,complex_task_en,"As a novice to vehicle network simulation, I'm not sure what the 'master-slave' architecture mentioned in the scripts specifically refers to. I need to confirm which nodes can send frame headers and how slaves respond with data to correctly configure my simulation environment.",CAPLFunctions/Glossary.md,True,查询核心概念与技术细节,True,1.0,"['CAPLFunctions/Glossary.md', 'CANoeCANalyzer/LIN/HowTos/LIN_Simulating_LIN-Master.md', 'CANoeCANalyzer/FunctionBlocks/LINInteractiveScheduler/LINiscNetwork.md', 'CANoeCANalyzer/LIN/HowTos/LINHardwareMasterMode.md', 'CLibraryAPI/Functions/CAPLfunctioncclIsRunningInSlaveMode.md']"
2,simple_task_zh,我想查找CAPL语言中各类函数和事件过程的分类概览。,CAPLFunctions/CAPLfunctions.md,True,查询模块总览与导航,False,,"['CAPLFunctions/Other/CAPLGeneralStartPage.md', 'CAPLFunctions/Other/CAPLfunctionsEventProceduresOverview.md', 'Shared/FunctionExplorer.md', 'COMInterface/Objects/COMObjectCAPLFunction.md', 'Shared/CAPL/General/Functions.md']"
2,complex_task_zh,我需要编写一个CAPL程序来实现节点行为仿真。由于我不熟悉这种语言，我想先查看一下它的技术参考文档首页，看看它都支持哪些特定总线（如CAN、Ethernet）或特定主题（如诊断、测试）的函数库分类。,CAPLFunctions/CAPLfunctions.md,True,查询模块总览与导航,True,1.0,"['CAPLFunctions/CAPLfunctions.md', 'CAPLBrowser/CAPLBrowserConcept.md', 'CANoeCANalyzer/General/Programming.md', 'CAPLBrowser/CAPLBrowser.md', 'Shared/CAPL/CAPLIntroduction.md']"
2,simple_task_en,I want to find a categorical overview of various functions and event procedures in the CAPL language.,CAPLFunctions/CAPLfunctions.md,True,查询模块总览与导航,False,,"['CAPLFunctions/Other/CAPLGeneralStartPage.md', 'CAPLFunctions/Other/CAPLfunctionsEventProceduresOverview.md', 'Shared/FunctionExplorer.md', 'CAPLFunctions/Obsolete/CAPLfunctionsDeprecatedOverview.md', 'CAPLFunctions/Scope/CAPLfunctionsScopeOverview.md']"
2,complex_task_en,"I need to write a CAPL program to simulate node behavior. Since I am unfamiliar with this language, I want to check the technical reference start page first to see the classification of function libraries it supports for specific buses (like CAN, Ethernet) or specific themes (like diagnostics, testing).",CAPLFunctions/CAPLfunctions.md,True,查询模块总览与导航,True,1.0,"['CAPLFunctions/CAPLfunctions.md', 'CAPLBrowser/CAPLBrowserConcept.md', 'CANoeCANalyzer/General/Programming.md', 'CANoeCANalyzer/Interfaces/MATLAB/ModelingConcepts/MATLABmcSoftwareLayers.md', 'CAPLBrowser/CAPLBrowser.md']"
3,simple_task_zh,我想了解该仿真工具的核心功能和它可以处理的常见任务。,CANoeCANalyzer/CANoeCANalyzer.md,True,查询模块总览与导航,False,,"['COMInterface/Properties/COMPropertySimulation.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationFeatures.md', 'COMInterface/Objects/COMObjectSimulation.md', 'CAPLFunctions/Other/Functions/CAPLfunctionIsSimulated.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationConcept.md']"
3,complex_task_zh,我司刚引入了一套测试系统，我需要全面了解这个软件在整个开发周期中能起到什么作用，以及它有哪些常用的操作流程，比如如何录制数据、如何进行剩余总线仿真等基础知识。,CANoeCANalyzer/CANoeCANalyzer.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/ISO11783/SimulationAndTest.md', 'TestCommands/CheckReport/CRSUT.md', 'SampConf/MOST/CANoe/MOSTSystemDemo/MOSTSystemDemoTestCN.md', 'CANoeCANalyzer/Test/TestFeatures.md', 'SampConf/MOST/CANoe/Tester/testerOverviewCn.md']"
3,simple_task_en,I want to understand the core functions of this simulation tool and the common tasks it can handle.,CANoeCANalyzer/CANoeCANalyzer.md,True,查询模块总览与导航,False,,"['COMInterface/Properties/COMPropertySimulation.md', 'CANoeCANalyzer/Ribbon/RibbonStimulationSimulation.md', 'COMInterface/Objects/COMObjectSimulation.md', 'CANoeCANalyzer/J1939/blocks/gnsssimulator/gsMainWnd.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationFeatures.md']"
3,complex_task_en,"My company just introduced a testing system, and I need to comprehensively understand the role this software plays throughout the development cycle, as well as its common operational workflows, such as how to record data and how to perform remaining bus simulation.",CANoeCANalyzer/CANoeCANalyzer.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/ISO11783/SimulationAndTest.md', 'CANoeCANalyzer/SimulationStimulation/ConfigurationRemainingBusSimulation.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupConcepts.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationFeatures.md', 'CANoeCANalyzer/SimulationStimulation/SimulationStimulationConcept.md']"
4,simple_task_zh,我想知道这个软件套件里除了主程序外，还有哪些辅助工具可以使用。,CANoeCANalyzer/CANoeCANalyzerTools.md,True,查询模块总览与导航,False,,"['SampConf/ISO11783/CANoe/MoreExamples/AuxiliaryDemo/AuxiliaryDemo_CN.md', 'CANoeCANalyzer/Ribbon/File/Options/ExternalPrograms/ExternalProgramsTools.md', 'CANoeCANalyzer/FunctionBlocks/ProgramNode/help_caplboxan_2.md', 'CANoeCANalyzer/VTPPlatformManager/VN8800Series_AppControl.md', 'CAPLBrowser/CAPLBrowserWindows.md']"
4,complex_task_zh,在配置仿真环境时，我发现需要编辑数据库文件和管理安全配置文件。我想查一下这个软件生态中是否有专门的编辑器或配置管理工具，以及如何启动这些工具来辅助我的脚本开发工作。,CANoeCANalyzer/CANoeCANalyzerTools.md,True,查询模块总览与导航,False,,"['CANoeCANalyzer/Ribbon/File/Options/ExternalPrograms/ExternalProgramsTools.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupDatabaseRename.md', 'CANoeCANalyzer/Security/SecuritySetup.md', 'CANoeCANalyzer/General/DatabaseEditors.md', 'CANoeCANalyzer/Windows/SimulationSetup/SimulationSetupAssistantDefineBusesDatabases.md']"
